no,word,meaning
1,create,を創り出す
2,increase,増加する
3,improve,を向上させる
4,mean,を意味する
5,own,を所有している
6,include,を含む
7,consider,を見なす
8,allow,を許す
9,suggest,を提案する
10,produce,を生産する
11,decide,を決める
12,offer,を提供する，申し出る
13,require,を要求する
14,share,を共有する
15,store,を保存する
16,tend,傾向がある
17,concern,心配している
18,describe,について述べる，を説明する
19,involve,を関与させる
20,reduce,を減らす
21,design,を設計する
22,force,に強いる
23,limit,を制限する
24,bear,に耐える
25,affect,に影響を及ぼす
26,deal,を処理する
27,avoid,を避ける
28,relate,を関連づける
29,realize,に気づく
30,encourage,を奨励する
31,compare,を比較する
32,measure,を測る
33,exist,存在する
34,mark,に印をつける
35,challenge,に異議を唱える
36,depend,頼る
37,object,反対する
38,demand,を要求する
39,found,を設立する
40,complete,を完成させる，仕上げる
41,idea,考え，思いつき
42,accord,一致
43,company,会社
44,interest,興味
45,research,研究，調査
46,cause,原因
47,reason,理由
48,effect,影響，効果
49,influence,影響
50,situation,状況
51,environment,環境
52,skill,技能
53,matter,事柄
54,view,見解
55,value,価値
56,species,種
57,thought,考え
58,knowledge,知識
59,memory,記憶
60,practice,実践，実行
61,benefit,利益，恩恵
62,theory,学説
63,issue,問題
64,experiment,実験
65,article,記事
66,focus,焦点
67,subject,話題
68,project,計画
69,quality,質
70,role,役割
71,term,用語
72,statement,声明
73,material,材料，素材
74,evidence,証拠
75,source,源，根源
76,community,社会，～界
77,technology,科学技術
78,culture,文化
79,appropriate,適切な
80,likely,ありそうな
81,possible,可能な
82,individual,個々の
83,public,公の
84,common,共通の
85,certain,確信して
86,similar,似ている，類似した
87,recent,最近の
88,major,主要な
89,patient,忍耐強い
90,particular,特定の
91,physical,身体の
92,various,さまざまな
93,available,手に入る
94,native,出生地の
95,political,政治の
96,due,予定された
97,blank,空白の
98,ancient,古代の
99,correct,正しい
100,despite,～にもかかわらず
101,notice,に気づく
102,refer,言及する，関連する
103,approach,に近づく
104,wonder,かなと思う
105,imagine,想像する
106,recognize,を識別できる
107,solve,を解く，解明する
108,occur,起こる
109,argue,と主張する
110,claim,と主張する
111,express,を表す，述べる
112,draw,を引き出す
113,waste,を浪費する，無駄にする
114,advance,を進歩させる
115,spread,を広める
116,prepare,を準備する
117,gain,を獲得する
